Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Apple Town,мини-маркет,Супермаркеты; Алкогольные напитки,"улица Аскарова, 8",1 этаж,050043,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,2.4,8,,,,,,,,,,,,,,,,,,,43.198797,76.867367,https://2gis.com/firm/70000001044081902,branch
Aq-Sultan,продуктовый магазин,Продуктовые магазины,"улица Сейхун, 30Б",,050031,,,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,5.0,5,87074478081,87082665460,,,,,,,,,https://wa.me/77074478081,https://wa.me/77082665460,,,,,,,43.233429,76.819038,https://2gis.com/firm/70000001049199959,branch
Aqjol,продуктовый магазин,Продуктовые магазины,"улица Мауленова, 108",117 помещение,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.1,23,87014376149,,,,,,,,,,https://wa.me/77014376149,,,,,,,,43.245209,76.935927,https://2gis.com/firm/70000001054830211,branch
Aqua home,магазин,Сантехника; Мебель для ванных комнат; Аксессуары для ванных комнат,"улица Шевченко, 204 к5",34 бутик; 1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,3,87273794311,87089151437,,,,,,https://instagram.com/aqua.homekz,,,https://wa.me/77083203939,,,,,,,,43.241718,76.890879,https://2gis.com/firm/9429940001667386,branch
Aqua home,магазин,Сантехника; Мебель для ванных комнат; Аксессуары для ванных комнат,"улица Шевченко, 204а",1 корпус; 9 бутик; 1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,1,87083203939,87089151437,,,,,,https://instagram.com/aqua.homekz,,,https://wa.me/77083203939,,,,,,,,43.242296,76.890982,https://2gis.com/firm/9429940001416119,branch
AR,продуктовый магазин,Продуктовые магазины,"микрорайон Самал-1, 17",1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.5,20,87272620111,,,,,,,,,,,,,,,,,,43.235558,76.954807,https://2gis.com/firm/9429940000917110,branch
AR House,магазин,Посуда; Домашний текстиль; Ароматовары; Подарочная упаковка,"проспект Абая, 109в",цокольный этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.4,8,87075415415,87073294946,,,,,,https://instagram.com/arhouse.kz,,,https://wa.me/77075415415,,,,,,,,43.240438,76.905819,https://2gis.com/firm/70000001053089785,branch
Arnur,продовольственный магазин,Продуктовые магазины,"микрорайон Орбита-3, 16",1 этаж,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.2,13,87772488882,87783564033,87074727229,,,,,,,,https://wa.me/77783564033,,,,,,,,43.201567,76.874852,https://2gis.com/firm/9429940000791714,branch
Arsenal,мини-маркет,Супермаркеты,"проспект Дулати, 55Б",1 этаж,,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.7,4,,,,,,,,,,,,,,,,,,,43.163992,76.891876,https://2gis.com/firm/9429940001227249,branch
Artique,магазин,Женская одежда; Обувные магазины; Сумки / Кожгалантерея,"улица Егизбаева, 7/10 к1",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,1.8,4,87074168464,,,,,,,https://instagram.com/artique_showroom_kz,,,,,,,,,,,43.230069,76.885128,https://2gis.com/firm/70000001026945675,branch
Artlamp,магазин,Светотехника,"улица Шевченко, 204а",1 бутик; 1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,3.9,7,87070461047,87014782511,,,,,,https://instagram.com/artlampkz,,,https://wa.me/77014782511,https://wa.me/77070461047,,,,,,,43.242296,76.890982,https://2gis.com/firm/70000001052284357,branch
Asar,мини-маркет,Супермаркеты,"микрорайон Орбита 1, 2",1 этаж,050043,Орбита-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.4,56,87479380575,,,,,,,,,,,,,,,,,,43.201853,76.885732,https://2gis.com/firm/9429940000802743,branch
Asar,продуктовый магазин,Супермаркеты,"проспект Гагарина, 100/170",1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,1.9,58,87273759572,,,,,,,,,,,,,,,,,,43.23968,76.895034,https://2gis.com/firm/70000001031793670,branch
Asar,продуктовый магазин,Супермаркеты,"микрорайон Орбита 2, 2",1 этаж,050043,Орбита-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,1.9,34,87272657877,,,,,,,,,,,,,,,,,,43.198376,76.88693,https://2gis.com/firm/70000001027661439,branch
Asar,продуктовый магазин,Супермаркеты,"микрорайон Таугуль-1, 58",1 этаж,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.4,49,87273026689,,,,,,,,,,,,,,,,,,43.212876,76.87842,https://2gis.com/firm/9429940001023597,branch
Asem,продуктовый магазин,Продуктовые магазины,"улица Ислама Каримова, 220/2",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.5,17,87718678888,,,,,,,,,,https://wa.me/77718678888,,,,,,,,43.237209,76.885237,https://2gis.com/firm/70000001061932784,branch
Askar,продуктовый магазин,Продуктовые магазины,"улица Радостовца, 223",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.4,20,87056223640,,,,,,,,,,https://wa.me/77056223640,,,,,,,,43.222609,76.893451,https://2gis.com/firm/9429940000793029,branch
Aspan,мини-маркет,Супермаркеты,"улица Ислама Каримова, 203 блок 6",,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:30; Вт: 08:00-23:30; Ср: 08:00-23:30; Чт: 08:00-23:30; Пт: 08:00-23:30; Сб: 08:00-23:30; Вс: 08:00-23:30,+05:00,3.0,21,87471996440,,,,,,,,,,https://wa.me/77471996440,,,,,,,,43.23954,76.884453,https://2gis.com/firm/70000001081065014,branch
Aspdf.kz,магазин,Фототовары; Аудиотехника / Видеотехника,"улица Жарокова, 166",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-15:00,+05:00,4.5,24,87056033366,87476757900,,,http://aspdf.kz,,,https://instagram.com/aspdf.kz,,,https://wa.me/77056033366,,,,,,,,43.231457,76.900676,https://2gis.com/firm/70000001041425733,branch
Asyl,магазин,Бытовая химия; Канцтовары; Посуда; Товары для праздников; Игрушки,"проспект Гагарина, 214/1",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,6,87762309977,,,,,,,https://instagram.com/asyl_syilyq,,,https://wa.me/77762309977,,,,,,,,43.216021,76.898064,https://2gis.com/firm/70000001080061381,branch
Aua,магазин,Косметика / Парфюмерия,"Василия Клочкова улица, 123",104 офис; 1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00,+05:00,,,87088151705,,,,,,,https://instagram.com/auaparfume,,,https://wa.me/77088151705,,,,,,,,43.236895,76.90188,https://2gis.com/firm/70000001058937116,branch
Auramatras,магазин,Матрасы; Домашний текстиль; Ортопедические товары,"улица Навои, 208/2",цокольный этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,3,87777211779,,,,,,,https://instagram.com/auramatras.kz,,,https://wa.me/77777211779,,,,,,,,43.206299,76.886818,https://2gis.com/firm/70000001093610144,branch
Ayan,продуктовый магазин,Продуктовые магазины,"улица Каныша Сатпаева, 72а",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,1.8,54,87072026585,,,,,,,,,,https://wa.me/77072026585,,,,,,,,43.234308,76.889146,https://2gis.com/firm/9429940000797561,branch
Azali,магазин,Косметика / Парфюмерия,"улица Сулейменова, 26а",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,14,87021650299,,,,,,,https://instagram.com/azali_company,,,https://wa.me/77021650299,,,,,,,,43.211299,76.8782,https://2gis.com/firm/70000001069464842,branch
Baby Mama,магазин,Товары для новорождённых,"улица Басенова, 11",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87751324089,87475260388,,,,,,https://instagram.com/babymama.kz,,,https://wa.me/77475260388,https://wa.me/77751324089,,,,,,,43.222307,76.898862,https://2gis.com/firm/70000001061219734,branch
Babyone,магазин,Товары для новорождённых; Товары для беременных / Товары для кормящих мам; Детская одежда; Игрушки; Детская мебель,"улица Тимирязева, 42 к3",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,8,87476478086,,,,,,,https://instagram.com/babyone.kz,,,,,,,,,,,43.22515,76.909917,https://2gis.com/firm/70000001093748607,branch
Babystore,магазин,Детская одежда; Товары для новорождённых; Детская обувь; Игрушки; Товары для беременных / Товары для кормящих мам,"микрорайон Самал-2, 111",3 этаж,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.4,15,87071342396,,,,,,,https://instagram.com/babystore_kz_,https://facebook.com/usababystore.kz,,https://wa.me/77071342396,,,,,,,,43.233904,76.956518,https://2gis.com/firm/70000001033785939,branch
Baiindi home,магазин,Посуда,"улица Мамыр, 1",5 бутик; 1 этаж,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,,,87071763665,,,,,,,https://instagram.com/baiindi_home,,,https://wa.me/77071763665,,,,,,,,43.193827,76.903683,https://2gis.com/firm/70000001065144349,branch
Baiindi shop,магазин,Обувные магазины; Носки / Колготки; Бижутерия; Женская одежда; Мужская одежда,"улица Мамыр, 1",6 бутик; 1 этаж,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 10:00-19:30; Вс: 10:00-19:30,+05:00,4.0,1,87071763665,,,,,,,,,,https://wa.me/77071763665,,,,,,,,43.193827,76.903683,https://2gis.com/firm/70000001030251302,branch
BalaBaloo,магазин,Товары для новорождённых,"микрорайон Алмагуль, 3а",1 этаж,050060,Алмагуль м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,4.2,5,87272476019,87017142412,,,http://balabaloo.ru,,,https://instagram.com/balabaloo.kz,,,https://wa.me/77017142412,,,,,,,,43.209988,76.902719,https://2gis.com/firm/70000001030204992,branch
Balajan,продуктовый магазин,Продуктовые магазины,"улица Шевченко, 149",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.7,17,87273757459,,,,,,,,,,,,,,,,,,43.243963,76.908267,https://2gis.com/firm/9429940001076476,branch
Bananas,магазин,Посуда; Косметика / Парфюмерия; Керамические изделия; Хозтовары; Канцтовары,"микрорайон Орбита-3, 5/3а",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,1,87016580140,,,,,,,https://instagram.com/bananas.almaty,,,https://wa.me/77016580140,https://wa.me/77021683101,,,,,,,43.198364,76.878354,https://2gis.com/firm/70000001090076037,branch
